Row Labels,Ward/Project Number,Project Name,SubProject Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,LIB000337-2,St. Clair/Silverthorn Neighbourhood Library ,St. Clair/Silverthorn Library Expansion,0,0,0,116,0,0,0,0,0,0
,PKS000017-413,Park Development,Turnberry Park South^,100,0,0,0,0,0,0,0,0,0
,PKS000017-414,Park Development,Turnberry Park North^,125,0,0,0,0,0,0,0,0,0
,TPA906846-2,St. Clair West P 41 (Corso Italia),St. Clair West P 41 (Corso Italia),0,"4,360",0,0,0,0,0,0,0,0
,TPA907711-1,St. Clair Ave. West,"St. Clair Ave, West",0,0,0,"1,000",0,0,0,0,0,0
,FAC906395-859,Mechanical and Electrical,100 Turnberry - Various SOGR Project,0,0,0,0,0,0,0,0,0,24
,Davenport-17 Total,,,234,"4,614",0,"1,116",0,6,76,0,0,24
18,Davenport-18,,,,,,,,,,,,
,FAC906397-140,Renovations,760 Dovercourt Rd-Reno WR & Kitchen,0,0,0,17,85,0,0,0,0,0
,FAC906397-200,Renovations,760 Dovercourt Rd-Rpl Flooring& Int Painting,0,0,0,5,0,87,0,0,0,0
,LIB907893-1,Perth Dupont Renovation,Perth Dupont Renovation,0,0,0,0,0,0,94,50,"1,100",0
,PKS000017-500,Park Development,West Queen West Triangle - New Park Development^ ,187,0,0,0,0,0,0,0,0,0
,PKS000017-613,Park Development,Lisgar Pk/Queen West Triangle Development - S37,211,0,0,0,0,0,0,0,0,0
,TPA906838-2,Queen/ Ossington to Dufferin OSPF,Queen/ Ossington to Dufferin OSPF,"4,250",0,0,0,0,0,0,0,0,0
,TPA907474-1,College/ Dovercourt,College/ Dovercourt,0,0,0,0,0,0,0,"2,000",0,0
,FAC906395-909,Mechanical and Electrical,760 Dovercourt -Var Mech SOGR Projects,0,0,0,0,0,0,0,0,0,46
,PKS000017-719,Park Development,McCormick Park Playground - S42,150,0,0,0,0,0,0,0,0,0
,FAC906393-102,Re-roofing,1115 Queen St. West-Replace asphalt shingles,0,0,0,0,0,0,0,0,0,9
,TPA907713-3,Dundas & Dovercourt (1113-1117 Dundas),Dundas/ Dovercourt (1113-1117 Dundas) 2015,0,"8,750",0,0,0,0,0,0,0,0
,PKS000017-718,Park Development,Dufferin Grove Footpath - S42/S45,135,0,0,0,0,0,0,0,0,0
,FAC906394-315,Structural/Building Envelope,760 Dovercourt-Rpl WindowsDoors,8,118,0,0,0,0,0,0,0,0
,Davenport-18 Total,,,"4,941","8,868",0,22,85,87,94,"2,050","1,100",55
19,Trinity-Spadina-19,,,,,,,,,,,,
,ACH000010-57,Cultural Infrastructure Development,Fort York Unesco Nomination -FY,0,0,0,110,0,0,0,0,0,0
,ACH000011-34,Service Enhancement,Fort York Programme Development - FY,0,0,0,0,0,0,50,0,0,0
,ACH000011-39,Service Enhancement,Fort York Adding New Buildings -FY,0,0,242,990,0,0,0,0,0,0
,ACH000011-40,Service Enhancement,Fort York Visitors Centre  2010-CF&PA,976,0,0,0,0,0,0,0,0,0
,ACH000011-45,Service Enhancement,Fort York Visitors Centre- 2012,72,0,0,0,0,0,0,0,0,0
,ACH000011-46,Service Enhancement,Fort York Visitor Centre 2011,"1,850",0,0,0,0,0,0,0,0,0
,ACH000012-149,Restoration/Preservation of Heritage Elements,Fort York Restoration-2013,75,0,0,0,0,0,0,0,0,0
,ACH000013-17,Refurbishment and Rehabilitation,Fort York Interiors FY,0,0,99,0,0,0,0,0,0,0
,FAC906394-133,Structural/Building Envelope,756 Ossington- Windows & Rpr Ext Masonry Wall,0,0,0,0,30,220,0,0,0,0
,FAC906394-35,Structural/Building Envelope,5 Bathurst St-Strct Restoration of Silos,0,"2,000","1,000","1,000","1,000","1,000","1,000",0,0,0
,FAC906395-418,Mechanical and Electrical,140 Princess-Repl DHW Heater& OH Door,0,0,0,0,0,0,7,101,0,0
,PKS000015-58,Land Acquisition,Stafford Street Remediation ,122,0,0,0,0,0,0,0,0,0
,PKS000017-215,Park Development,Christie Pits Park - Redevelopment^,50,700,0,0,0,0,0,0,0,0
,PKS000017-347,Park Development,Former Inglis Lands^,0,0,0,78,0,0,0,0,0,0
,PKS000017-429,Park Development,Gore Park - New Park Development^,0,0,150,"2,490",0,0,0,0,0,0
,PKS000019-281,Playgrounds/Waterplay,Fred Hamilton Playground Wading Pool Conversion,0,0,0,0,0,150,0,0,0,0
,TPA000471-2,Avenue Rd. & Davenport,Avenue Rd. - Davenport ,0,0,0,0,0,0,0,0,"2,500",0
,TPA907796-1,CP168 Expansion,CP 168 Expansion,0,0,0,0,"5,000",0,0,0,0,0
,PKS000017-687,Park Development,Ward 19 Park Improvements - S42,300,0,0,0,0,0,0,0,0,0
,ACH000012-161,Restoration/Preservation of Heritage Elements,Fort York Restoration-2014,221,150,0,0,0,0,0,0,0,0
,ACH000011-52,Service Enhancement,Fort York Landscape -2014,500,500,0,0,0,0,0,0,0,0
,ACH000011-53,Service Enhancement,Fort York Landscape-FY,0,0,0,0,0,0,0,0,0,200
,PKS000017-689,Park Development,George Ben & Roxton Road Park - S42,88,0,0,0,0,0,0,0,0,0
,PKS000017-688,Park Development,Liberty Village Parks Improvements - S42,308,0,0,0,0,0,0,0,0,0
,FAC906394-347,Structural/Building Envelope,265 Manitoba-Exterior wall rehabilitation,8,189,0,0,0,0,0,0,0,0
,ACH000013-41,Refurbishment and Rehabilitation,Fort York Interiors,55,0,0,0,0,0,0,0,0,0
,FAC906395-868,Mechanical and Electrical,140 Princes-Various Projects,0,0,0,0,0,0,0,0,0,31
,PKS000017-690,Park Development,June Callwood Park FY2014 - Additional funding S37,102,0,0,0,0,0,0,0,0,0
,Trinity-Spadina-19 Total,,,"4,727","3,539","1,491","4,668","6,030","1,370","1,057",101,"2,500",231
20,Trinity-Spadina-20,,,,,,,,,,,,
,ACH000011-48,Service Enhancement,John St. Roundhouse Machine Shop-FY,0,275,406,0,0,440,0,300,0,0
,ACH000016-55,Major Maintenance ,John Street Roundhouse 2009- CF,34,0,0,0,0,0,0,0,0,0
,ACH000016-68,Major Maintenance ,Theatre Passe Muraille - FY,0,0,0,0,0,55,50,0,0,0
,FAC906393-15,Re-roofing,627 Queens Quay W-Replacement Of Roofing Systems,0,0,0,0,6,114,0,0,0,0
,FAC906394-37,Structural/Building Envelope,707 Dundas Street -Replace Windows,0,0,0,0,0,0,0,0,0,62
,FAC906394-46,Structural/Building Envelope,58 Cecil Street - Repl of Original Wood Windows,0,0,0,0,13,187,0,0,0,0
,FAC906395-113,Mechanical and Electrical,132 Bellevue Ave-Replace Unit Heater,0,0,0,0,4,31,0,0,0,0
,FAC906395-174,Mechanical and Electrical,"843 Palmerston Ave - Painting, RTUs & Exhausts",0,0,0,0,0,0,0,0,0,40
,FAC906395-256,Mechanical and Electrical,843 Palmerston Ave-Rpl of Main Switch ,0,0,3,36,0,0,0,0,0,0
,FAC906395-266,Mechanical and Electrical,"707 Dundas Street - Heaters, Heating Pumps",0,15,163,0,0,0,0,0,0,0
,FAC906395-281,Mechanical and Electrical,627 Queens Quay W-Elevator Modernization,0,0,0,0,0,0,0,0,0,21
,FAC906395-416,Mechanical and Electrical,65 Navy Wharf-Replace Fuel Tank and Generator,312,0,0,0,0,0,0,0,0,0
,FAC906395-424,Mechanical and Electrical,35 Spadina Rd-Replace Fire Alarm System,0,0,0,7,60,0,0,0,0,0
,FAC906395-476,Mechanical and Electrical,707 Dundas W-Repl Valves Heaters ,0,0,0,0,0,0,16,186,0,0
,FAC906395-532,Mechanical and Electrical,23 Grange Rd- Interior ME,0,0,0,21,78,0,0,0,0,0
,FAC906395-55,Mechanical and Electrical,259 Queens Quay W-Rpl AHU,269,0,0,0,0,0,0,0,0,0
,FAC906396-75,Sitework,35 Spadina Road -Asphalt Pavement & Int Repaint,0,7,178,0,0,0,0,0,0,0
,FAC906397-136,Renovations,55 John St-Metro Hall Upgrades,625,625,0,0,0,0,0,0,0,0
,FAC906397-138,Renovations,55 John-Renew Finishes 3rd Fl Meeting Room,0,0,0,0,0,88,807,0,0,0
,FAC906397-8,Renovations,23 Grange Rd - Roofing and Wall Ties,0,0,0,0,0,0,52,926,0,0
,LIB000150-3,Sanderson Neighbourhood Library Renovation,Sanderson Neighbourhood Library Renovation,0,110,"1,417","3,469",0,0,0,0,0,0
,LIB000166-1,Fort York New Construction,Fort York New Construction,495,0,0,0,0,0,0,0,0,0
,LIB000166-2,Fort York New Construction,Fort York -Adjust source of funding,601,0,0,0,0,0,0,0,0,0
,PKS000017-326,Park Development,Clarence Square - Redevelopment Phase 2^,150,0,0,0,0,0,0,0,0,0
,PKS000017-449,Park Development,Grange Park S37 & AGO,102,0,0,0,0,0,0,0,0,0
,PKS000017-483,Park Development,Grange Road Park Improvement - AGO,70,0,0,0,0,0,0,0,0,0
,PKS000017-488,Park Development,Grange Park 2007 - S37,45,0,0,0,0,0,0,0,0,0
,PKS000017-591,Park Development,Bellevue Square Improvements S37/S42,213,0,0,0,0,0,0,0,0,0
,PKS000017-615,Park Development,Vermont Square Improvements - S42 / S45,245,0,0,0,0,0,0,0,0,0
,PKS000017-618,Park Development,Mouth of the Garrison Creek Pk Design - S37,50,0,0,0,0,0,0,0,0,0
,PKS000019-229,Playgrounds/Waterplay,Alexandra Park - Wading Pool Conversion,0,0,0,222,0,0,0,0,0,0
,PKS023   -255,Community Centres,Railway Lands New CC (Spadina/Front)-Construction ,0,"5,200",0,0,0,0,0,0,0,0
,PKS023   -268,Community Centres,Railway Lands CC Transfer of Funding,600,0,0,0,0,0,0,0,0,0
,TPA000003-1,Harbourfront,Harbourfront,0,0,0,0,0,0,0,0,0,"4,500"
,TPA000046-2,Harbord - Spadina To Major,Harbord - Spadina to Major,0,0,0,0,0,0,0,"2,000",0,0
,TPA000047-3,Queen St. West/ (Spadina-Bellwoods),Queen St. West/ (Spadina-Bellwoods),0,0,0,"2,250",0,0,0,0,0,0
,TPA906837-3,King E. of Spadina - Revitalization,King E. of Spadina - Revitalization,0,0,0,0,0,0,0,"6,000",0,0
,TPA907472-1,Spadina/ Bloor,Spadina/  Bloor,0,"4,000",0,0,0,0,0,0,0,0
,TPA907705-1,Redevelpment of CP 224 - JV,Redevelopment of CP 224 - JV,0,0,0,0,"11,000",0,0,0,0,0
,TPA907710-1,Little Italy,Little Italy,0,0,0,0,0,0,0,0,0,"3,500"
,FAC906397-288,Renovations,55 John St - Various Projects - Architectural 1,0,0,0,0,0,0,0,0,0,760
,FAC906394-348,Structural/Building Envelope, 674 Markham-Exterior Wall Rehab & Repair Exterior,18,205,0,0,0,0,0,0,0,0
,PKS000019-268,Playgrounds/Waterplay,Vermont Square Donation,50,0,0,0,0,0,0,0,0,0
,FAC906394-323,Structural/Building Envelope,255 Dundas W-Rahab Facade Remove Suncreen Fins,0,29,420,0,0,0,0,0,0,0
,FAC906395-898,Mechanical and Electrical,  55 John Street -Standpipe Pump VAV Transformers,0,0,0,0,0,0,0,0,0,350
,FAC906394-353,Structural/Building Envelope,55 John-RepairParkingGarageFloor,350,0,0,0,0,0,0,0,0,0
,PKS000017-734,Park Development,Coronation Pk Design & Implementation - S42,400,0,0,0,0,0,0,0,0,0
,PKS000017-724,Park Development,Red Canoe DOLA - S42,350,0,0,0,0,0,0,0,0,0
,PKS000017-727,Park Development,Widmer @ Adelaide - S42,100,500,0,0,0,0,0,0,0,0
,PKS000017-725,Park Development,St Andrew Playground Improvements - S42,150,500,0,0,0,0,0,0,0,0
,FAC906394-316,Structural/Building Envelope,55 John-RehabMetroSquareStage,38,453,0,0,0,0,0,0,0,0
,FAC906395-897,Mechanical and Electrical,55 John -Sprinkler Pump Parking Fans VAV,0,0,0,0,0,0,0,0,0,184
,FAC906397-283,Renovations,35 Spadina Road - Various Projects,0,0,0,0,0,0,0,0,0,8
,FAC906395-900,Mechanical and Electrical,55 John - Var Mech SOGR Projects,0,0,0,0,0,0,0,0,0,242
,PKS000017-728,Park Development,90 Stadium Road Trail & Path - S37 ,100,600,0,0,0,0,0,0,0,0
,TPA907986-1,Elevator Upgrade CP 150 ,Elevator Uprgrade CP 150,200,0,0,0,0,0,0,0,0,0
,Trinity-Spadina-20 Total,,,"5,567","12,519","2,587","6,005","11,161",915,925,"9,412",0,"9,667"
21,St. Paul's-21,,,,,,,,,,,,
,FAC906395-255,Mechanical and Electrical,1435 Eglinton W-Rpl HVAC and Exhaust Fans,132,0,0,0,0,0,0,0,0,0
,FAC906395-76,Mechanical and Electrical,1435 Eglinton W- Elec Dist Equipment,0,0,0,0,0,18,189,0,0,0
,FAC906397-11,Renovations,700 Eglinton Ave-Renew Vinyl Flooring,0,0,0,0,13,224,0,0,0,0
,LIB907693-1,Wychwood Renovation,Wychwood Renovation,0,282,0,0,0,0,0,0,0,0
,PKS000017-271,Park Development,Cawthra Playground - Park Improvements^,0,150,0,0,0,0,0,0,0,0
,TPA906239-2,St. Clair/ Oakwood,St. Clair/ Oakwood,0,0,0,0,0,0,0,0,"2,000",0
,TPA907702-1,Chinahouse (CP 655),Chinahouse (CP 655),0,0,"9,800",0,0,0,0,0,0,0
,TPA907703-1, Redevelopment of CP 5 (JV),Redevelopment of CP 5 (JV),0,0,"10,000",0,0,0,0,0,0,0
,TPA907794-2,Redevelopment of CP 217 (JV),Redevelopment of CP 217,0,"10,900",0,0,0,0,0,0,0,0
,PKS000022-249,Trails & Pathways,Cedarvale Park Pathway Lighting Phase 2 - S42,40,430,0,0,0,0,0,0,0,0
,TPA906844-3,St. Clair (Regal Heights 94 Northcliffe),St. Clair (94 Northcliffe),50,0,0,0,0,0,0,0,0,0
,ACH000010-78,Cultural Infrastructure Development,Public Art Development Bathurst-Vaughan,90,60,0,0,0,0,0,0,0,0
,PKS000017-671,Park Development,Ward 21 Park Improvements - S42,100,0,0,0,0,0,0,0,0,0
,FAC906397-289,Renovations,700 Eglinton Ave. W - Various Projects,0,0,0,0,0,0,0,0,0,12
,PKS000021-199,Arena,Phil White Arena Interior Upgrades - S42,615,0,0,0,0,0,0,0,0,0
,FAC906395-905,Mechanical and Electrical,700 EGLINTON AVE W-Fire Alarm System,0,0,0,0,0,0,0,0,0,9
,St. Paul's-21 Total,,,"1,027","11,822","19,800",0,13,242,189,0,"2,000",21
22,St. Paul's-22,,,,,,,,,,,,
,ACH000012-117,Restoration/Preservation of Heritage Elements,Spadina Restoration - FY,0,0,198,198,198,0,0,200,200,0
,ACH000012-151,Restoration/Preservation of Heritage Elements,Spadina Restoration-2013,298,0,0,0,0,0,0,0,0,0
,ACH000012-153,Restoration/Preservation of Heritage Elements, Casa Loma Rsoration 2014 and 2015,"1,380","1,122",0,0,0,0,0,0,0,0
,FAC906394-201,Structural/Building Envelope,255 Spadina-rpl Windows and Doors,0,0,0,0,0,0,0,0,0,16
,FAC906395-154,Mechanical and Electrical,255 Spadina-Hot Water Heater,0,0,0,0,0,0,0,0,0,5
,FAC906395-162,Mechanical and Electrical,"255 Spadina Rd- Repl of Fire Alarm, Boilers",347,0,0,0,0,0,0,0,0,0
,FAC906397-202,Renovations,255 Spadina-Rpl MCC & Interior Painting,0,0,0,0,0,0,0,12,337,0
,FAC906397-209,Renovations,255 Spadina-Asphalt & Reno Washrooms,0,0,0,37,259,84,0,0,0,0
,TPA000051-3,Davisville/Yonge,Davisville/ Yonge ,0,0,0,"3,000",0,0,0,0,0,0
,TPA906990-3,Redevelopment of CP 12,Redevelopment of CP 12,0,0,0,0,"9,300",0,0,0,0,0
,TPA907478-1,Roehampton,Roehampton,0,"6,000",0,0,0,0,0,0,0,0
,TPA907611-1,CP 15 Redevelopment (JV),CP 15 Redevelopment (JV),0,0,0,"32,000",0,0,0,0,0,0
,TPA907715-3,"Yonge, S. of Eglinton",Yonge S. of Eglington,0,0,0,0,0,0,0,0,0,"7,000"
,PKS000017-714,Park Development,Mission Park - S42,50,0,0,0,0,0,0,0,0,0
,PKS000017-713,Park Development,Ward 22 Park Improvements - S42,300,0,0,0,0,0,0,0,0,0
,TPA907989-1,Lighting Upgrade CP 178,Lighting Upgrade CP 178,150,0,0,0,0,0,0,0,0,0
,TPA907988-1,Lighting Upgrade CP 171,Lighting Upgrade CP 171,150,0,0,0,0,0,0,0,0,0
,TPA907967-1,CP 11 Structural Modification and Expansion Joint,CP 11 Structural Modification and Expansion Joint,600,0,0,0,0,0,0,0,0,0
,FAC906393-115,Re-roofing,40 Rathnelly Ave-Replace asphalt shingles,0,0,11,0,0,0,0,0,0,0
,PKS000019-298,Playgrounds/Waterplay,Forest Hill Playground - S42,350,0,0,0,0,0,0,0,0,0
,FAC906395-878,Mechanical and Electrical,301 ST CLAIR W-Rooftop unit & Heater,0,0,7,36,0,0,0,0,0,0
,PKS000019-299,Playgrounds/Waterplay,Charlotte Maher Park Play Equipmt Replacemt - S42,200,0,0,0,0,0,0,0,0,0
,FAC906393-101,Re-roofing,20 Balmoral-Re-roofing,154,164,0,0,0,0,0,0,0,0
,FAC906395-846,Mechanical and Electrical,255 Spadina-ScopeChange-FireAlarm,210,0,0,0,0,0,0,0,0,0
,St. Paul's-22 Total,,,"4,189","7,286",216,"35,271","9,757",84,0,212,537,"7,021"
23,Willowdale-23,,,,,,,,,,,,
,ACH000013-37,Refurbishment and Rehabilitation,Gibson House Interiors - FY,0,0,0,0,0,0,0,300,600,0
,FAC906394-304,Structural/Building Envelope,5100 Yonge-Compl of Re-waterproofing Foundation,664,0,0,0,0,0,0,0,0,0
,FAC906395-608,Mechanical and Electrical,12 Canterbury-Replace DHW Heater,0,0,0,0,18,84,0,0,0,0
,FAC906396-29,Sitework,30 Ellerslie Ave-Roof Membrane&Asphlt ,0,0,0,0,0,0,39,842,0,0
,FAC906396-8,Sitework,"12 Canterbury Place-Ashpalt, Painting, Ext Wall, R",252,0,0,0,0,0,0,0,0,0
,FAC906396-85,Sitework,12 Canterbury Pl- Various Renovation Projects,0,0,0,0,0,8,91,0,0,0
,FAC906397-103,Renovations,5110 Yonge-Reno of Burgundy Room,0,0,0,0,65,679,0,0,0,0
,FAC906397-22,Renovations,"5100 Yonge-Repl Ceiling Tiles,Light Fixtures",0,0,0,0,97,"1,420",0,0,0,0
,FAC906397-76,Renovations,12 Canterbuty Place-Various Projects,0,0,10,313,0,0,0,0,0,0
,PKS000017-598,Park Development,Ward 23 Park Improvements S42 225-239 Finch Ave,50,0,0,0,0,0,0,0,0,0
,TPA906550-1,North York Center - South,North York Center -South,0,0,0,0,0,0,0,"4,000",0,0
,TPA907704-1,Redevelopment of CP 412 (JV), Redevelopment of CP 412 - JV,0,0,0,0,0,"4,000",0,0,0,0
,ACH000012-157,Restoration/Preservation of Heritage Elements,Gibson House Restoration-2014,0,50,0,0,0,0,0,0,0,0
,PKS023   -299,Community Centres,Edithvale CC - S37 ,258,0,0,0,0,0,0,0,0,0
,PKS000017-707,Park Development,Ward 23 South Park Improvements - S42,200,0,0,0,0,0,0,0,0,0
,ACH000010-82,Cultural Infrastructure Development,Public Art Development North York Arts Park,265,0,0,0,0,0,0,0,0,0
,FAC906395-895,Mechanical and Electrical,5100 Yonge -Mech SOGR Projects,0,0,0,0,0,0,0,0,0,42
,CHS908031-1,Avondale Public School,0,0,50,167,173,0,0,0,0,0,0
,PKS000017-705,Park Development,Linear Art Park - S42,"2,000",0,0,0,0,0,0,0,0,0
,FAC906394-313,Structural/Building Envelope,12 Canterbury-Rpl OverheadDoor,3,66,0,0,0,0,0,0,0,0
,TPA907990-1,Signage Illuminated CP 404,Signage Illuminated CP 404,100,0,0,0,0,0,0,0,0,0
,PKS000017-706,Park Development,Ward 23 North Park Improvements - S42,300,0,0,0,0,0,0,0,0,0
,Willowdale-23 Total,,,"4,092",166,177,486,180,"6,191",130,"5,142",600,42
24,Willowdale-24,,,,,,,,,,,,
,FAC906395-400,Mechanical and Electrical,241 Esther Shiner-Retrofit Lighting Sys,0,0,0,0,8,81,0,0,0,0
,FAC906397-113,Renovations,3300 Bayview-Various Arch Element Rpl,284,0,0,0,0,0,0,0,0,0
,LIB000334-2,Bayview Neighbourhood Library Relocation & Expansi,Bayview Neighbourhood Library Expansion,137,607,0,0,0,0,0,0,0,0
,PKS000017-352,Park Development,Former Canadian Tire Site ^  ,0,0,391,0,0,0,0,0,0,0
,PKS000017-648,Park Development,Linear Pk (Sheppard Ave) Development,0,0,0,0,0,500,500,0,0,0
,PKS023   -235,Community Centres,Bessarion CC Construction (Canadian Tire CC),0,0,400,0,0,0,0,0,0,0
,FAC906394-322,Structural/Building Envelope,251 ESTHER SHINER BLVD-Wood Roof Framing Rehabilit,0,0,0,0,0,0,4,52,0,0
,PKS000017-702,Park Development,Ward 24 Park Improvements - S42 ,278,0,0,0,0,0,0,0,0,0
,PKS023   -303,Community Centres,Bessarion CC Design (Canadian Tire CC),300,0,0,0,0,0,0,0,0,0
,ERP906993-23,Energy Retrofit Projects,ERP - Cummer Lodge,65,205,0,0,0,0,0,0,0,0
,PKS000015-73,Land Acquisition,Bessarion Land Assembly,0,"1,500","1,500",0,0,0,0,0,0,0
,FAC906396-141,Sitework,3300 Bayview-Pavement&Painting,0,0,0,0,0,0,0,0,0,7
,Willowdale-24 Total,,,"1,064","2,312","2,291",0,8,581,504,52,0,7
25,Don Valley West-25,,,,,,,,,,,,
,AMB000130-1,Station 21 - Sunnybrook,Station 21  - Sunnybrook - Facilities Related,0,0,0,0,0,0,0,0,200,"1,800"
,FAC906395-268,Mechanical and Electrical,1109 Leslie-Rpl Heaters&solar heat sys,0,4,67,0,0,0,0,0,0,0
,FAC906395-406,Mechanical and Electrical,2075 BAYVIEW AVE-CO Detection,0,0,0,0,0,0,9,56,27,0
,FAC906395-607,Mechanical and Electrical,10 William Carson-Rpl Furnaces,0,0,0,0,3,42,0,0,0,0
,TRC907697-4,CRITICAL EROSION CONTROL & FLOODWORKS NEEDS ,"Layer1:Flood Control:Hoggs,G.Ross,Black Cr Channel","1,000","1,000",200,200,200,500,500,200,200,500
,PKS000017-691,Park Development,Ward 25 Park Improvements - S42,175,0,0,0,0,0,0,0,0,0
,ACH000012-162,Restoration/Preservation of Heritage Elements,Windfields Estate Restoration-2014,560,0,0,0,0,0,0,0,0,0
,PKS000024-243,Environmental Initiatives,Wilket Creek Park,650,650,0,0,0,0,0,0,0,0
,FAC906395-875,Mechanical and Electrical,2545 Bayview Ave - Various Projects,0,0,0,0,0,0,0,0,0,69
,PKS000024-244,Environmental Initiatives,Wilket Creek Park Phase 2 FY2016-FY2017,0,0,650,650,0,0,0,0,0,0
,PKS000017-675,Park Development,Lawrence Park Improvements - S42,0,275,0,0,0,0,0,0,0,0
,Don Valley West-25 Total,,,"2,385","1,929",917,850,203,542,509,256,427,"2,369"
26,Don Valley West-26,,,,,,,,,,,,
,FAC907744-5, Security, Re-Design Security Control Centre,200,0,0,0,0,0,0,0,0,0
,PKS023   -276,Community Centres,Dennis R Timbrell Resource Centre Phase 2 FY2011,73,0,0,0,0,0,0,0,0,0
,TPA907987-1,Ramp Heating CP 157,Ramp Heating CP 157,50,0,0,0,0,0,0,0,0,0
,FAC906395-908,Mechanical and Electrical,703 Don Mills - Replace UPS#1 Wet Cell Batteries,0,0,0,0,0,0,0,0,0,442
,FAC906395-907,Mechanical and Electrical,703 Don Mills Rd-Replace Cooling Tower #1 & Mech,0,0,0,0,0,0,0,0,0,26
,PKS023   -298,Community Centres,Trace Manes CC Improvements - S37,10,54,0,0,0,0,0,0,0,0
,PKS000017-681,Park Development,Ward 26 Park Improvements - S42,200,0,0,0,0,0,0,0,0,0
,FAC906394-349,Structural/Building Envelope,703 Don Mills Road -Parking Garage Rehab,500,500,0,0,0,0,0,0,0,0
,FAC906394-340,Structural/Building Envelope,703 Don Mills Road - Various Projects,0,0,0,0,0,0,0,0,0,109
,FAC906395-906,Mechanical and Electrical,703 Don Mills-VarMechanicalSOGRProjects,0,0,0,0,0,0,0,0,0,216
,Don Valley West-26 Total,,,"1,033",554,0,0,0,0,0,0,0,793
27,Toronto Centre-Rosedale-27,,,,,,,,,,,,
,ACH000012-103,Restoration/Preservation of Heritage Elements,Mackenzie House Restoration - FY,0,0,165,45,385,0,300,0,0,200
,ECT907905-1,Downtown Yonge Streetscape Improvements,Downtown Yonge Streetscape Improvements,150,0,0,0,0,0,0,0,0,0
,FAC906395-153,Mechanical and Electrical,170 Jarvis St - Exhaust Fans,0,0,0,0,0,0,0,0,0,11
,FAC906395-217,Mechanical and Electrical,60 Queen W-A/C System&Electrical,500,0,0,0,0,0,0,0,0,0
,FAC906395-257,Mechanical and Electrical,111 Wellesley St. E -Various Projects,323,332,0,0,0,0,0,0,0,0
,FAC906395-280,Mechanical and Electrical,519 Church-Repl Existing AC Units,0,0,0,0,0,22,241,0,0,0
,FAC906395-390,Mechanical and Electrical,111 Wellesley E-Smoke Evacuation Fans,0,0,0,0,23,232,0,0,0,0
,FAC906395-536,Mechanical and Electrical,"277 Victoria St-Rpl Exh Fans, HW Boiler",0,0,0,0,0,0,0,0,34,323
,FAC906395-540,Mechanical and Electrical,60 Queen W - Repl of Existing Elec Dist Equip,0,0,0,0,22,559,0,0,0,0
,FAC906395-572,Mechanical and Electrical,40 College St - Rpl ATS#3 to ATS#6,0,0,0,0,0,0,0,0,0,25
,FAC906395-59,Mechanical and Electrical,100 Queen-Retrofit elevator lower level,0,0,0,110,"1,119",0,0,0,0,0
,FAC906395-590,Mechanical and Electrical,12 Grosvenor St.-Replacement of Boiler,0,0,0,216,0,0,0,0,0,0
,FAC906395-599,Mechanical and Electrical,60 Queen St W-Air Conditioning System and Electric,983,854,0,0,0,0,0,0,0,0
,FAC906395-612,Mechanical and Electrical,40 College-Fire Alarm and Fish Pond,"1,252",0,0,0,0,0,0,0,0,0
,FAC906396-98,Sitework,135 Davenport-Repl Fence & Asphalt Pavement,0,0,19,204,0,0,0,0,0,0
,FAC906397-10,Renovations,60 Queen St W-restor Scagliola column cladding,0,0,0,0,0,0,0,0,0,109
